stock_id,stock_name,sector
2330,台積電,半導體/晶圓代工
2454,聯發科,IC設計
2303,聯電,半導體/晶圓代工
2337,旺宏,記憶體
2408,南亞科,記憶體
2344,華邦電,記憶體
4967,十銓,記憶體模組
6531,愛普*,記憶體/IP
4958,臻鼎-KY,PCB
2313,華通,PCB
2368,金像電,PCB
3037,欣興,PCB/載板
3189,景碩,PCB/載板
8046,南電,PCB/載板
2383,台光電,CCL/銅箔基板
6213,聯茂,CCL/銅箔基板
6274,台燿,CCL/銅箔基板
2308,台達電,電源/散熱/AI供應鏈
3017,奇鋐,散熱
3324,雙鴻,散熱
6669,緯穎,AI Server
2382,廣達,AI Server
3231,緯創,AI Server
2356,英業達,AI Server
2317,鴻海,AI Server/組裝
3661,世芯-KY,ASIC/IP
3443,創意,ASIC/IP
3035,智原,ASIC/IP
2345,智邦,網通/交換器
6285,啟碁,網通
3450,聯鈞,光通訊
3081,聯亞,光通訊
6442,光聖,光通訊
4979,華星光,光通訊
3711,日月光投控,封測
2449,京元電子,封測
6147,頎邦,封測
2327,國巨*,被動元件
2492,華新科,被動元件
1802,台玻,玻璃/材料
1303,南亞,塑化/材料
1717,長興,化工/材料
2360,致茂,測試設備
6223,旺矽,測試介面
6187,萬潤,設備
3665,貿聯-KY,連接線/連接器
6279,胡連,連接器
3714,富采,LED/光電
3481,群創,面板
2409,友達,面板
3008,大立光,光學鏡頭
1605,華新,電線電纜
1513,中興電,重電
1514,亞力,重電
1504,東元,馬達/電機
2603,長榮,航運
2609,陽明,航運
2615,萬海,航運
2002,中鋼,鋼鐵
2027,大成鋼,鋼鐵
2014,中鴻,鋼鐵
2404,漢唐,工程/廠務
4919,新唐,MCU/IC設計
6488,環球晶,矽晶圓
5483,中美晶,矽晶圓/太陽能
3105,穩懋,砷化鎵/PA
8086,宏捷科,砷化鎵/PA
3260,威剛,記憶體模組
8299,群聯,記憶體控制IC
5347,世界,半導體/晶圓代工
3680,家登,半導體設備/材料
